Establishment ID,Name,Address,Zip Code,Owner,License Number,License Type,Most Recent License Date,Establishment Type,Status,Restaurant Complexity Level,Review Frequency in Days,Location
1560,Mr. Steve's Pizza,9911 Greenfield Ave,48227,"Stephen Albert Zelenka, Jr.",035801,Fixed Establishment,,Food Service Establishment,Open,High,180,"location
(42.36806, -83.19765)"
1381,Mr. Steve's Pizza,18940 W Warren Ave,48228,Stephen A. Zelenka,035530,Fixed Establishment,,Food Service Establishment,Open,,180,"location
(42.3435, -83.22515)"
4065,Ms. E-Vee's Soul Food,201 W Eight Mile Ave,48203,Yvonne Waller,075136,Fixed Establishment,04/26/2016,Food Service Establishment,Permanently Closed,High,180,"location
(42.44659, -83.10556)"
4861,Ms. Ruth Catering,4750 Woodward Ave,48201,Ruth O'Quin,076773,Fixed Establishment,04/30/2018,Food Service Establishment,Open,High,180,"location
(42.35568, -83.06307)"
921,Mt. Calvary Lutheran School,17100 Chalmers  Ave,48205,Mt. Calvary Lutheran School,034956,Fixed Establishment,05/05/2017,Non-Public School,Open,Medium,180,"location
(42.42732, -82.9747)"
1521,Mt. Vernon Missionary Baptist Church,15125 Burt Rd,48223,"Jerome L. Warfield, Pastor",035745,Fixed Establishment,05/07/2018,Food Service Establishment,Open,Medium,180,"location
(42.39902, -83.24714)"
1349,Mudgie's,1300 Porter St,48226,Greg M. Mudge,059573,Fixed Establishment,04/27/2018,Food Service Establishment,Open,,180,"location
(42.32899, -83.06206)"
911,Mumford High School,17525 Wyoming Ave,48221,Detroit Board of Education,073074,Fixed Establishment,04/30/2018,Public School,Open,,210,"location
(42.4214, -83.16463)"
3072,Munchee's Mania,19310 Conant Ave,48234,Munchies Mania LLC,074426,Fixed Establishment,04/22/2016,Food Service Establishment,Seasonal,Medium,365,"location
(42.43563, -83.07537)"
1275,Munger PK-8,5525 Martin,48238,Detroit Board of Education,073177,Fixed Establishment,04/30/2018,Public School,Open,Medium,210,"location
(42.33726, -83.13278)"
1704,Museum of African American History,315 E Warren Ave,48201,Museum of African American His,036071,Fixed Establishment,05/07/2018,Food Service Establishment,Open,Medium,365,"location
(42.35914, -83.06091)"
1106,Music Hall Center,350 Madison,48226,Music Hall Center,035181,Fixed Establishment,05/07/2018,Food Service Establishment,Open,,365,"location
(42.33702, -83.04577)"
51622804,Mutiny Bar ,4654 Vernor St,48209,Christopher Vanderginst,229363,Fixed Establishment,08/03/2018,Food Service Establishment,Open,Medium,365,"location
(42.30296, -83.14803)"
4126,My Dad's Bar,14911 Kercheval Ave,48215,"Bar Kercheval, LLC",068653,Fixed Establishment,05/14/2018,Food Service Establishment,,,365,"location
(42.38072, -82.94305)"
4050,My Spot,1801 Springwells,48209,Tanya Moss,075709,Fixed Establishment,04/16/2015,Food Service Establishment,Permanently Closed,,365,"location
(42.30812, -83.12506)"
805,Nancy Whiskey ,2644 Harrison,48216,"Mirish, LLC",067559,Fixed Establishment,05/22/2018,Food Service Establishment,Open,,365,"location
(42.33542, -83.07254)"
